Method,model,max gap,sup pos,sup neg,accuracy,precision,recall,f1 score,auc roc
RTP,svm,5,0.1,0.1,0.8417721518987342,0.77,0.9746835443037974,0.8603351955307262,0.8833552315334081
RTP,svm,5,0.1,0.15,0.8405063291139241,0.7717171717171717,0.9670886075949368,0.8584269662921349,0.8877551674411152
RTP,svm,5,0.1,0.2,0.8405063291139241,0.7717171717171717,0.9670886075949368,0.8584269662921349,0.8855503925652939
RTP,svm,5,0.1,0.25,0.8405063291139241,0.7717171717171717,0.9670886075949368,0.8584269662921349,0.8855503925652939
RTP,svm,5,0.1,0.3,0.8405063291139241,0.7717171717171717,0.9670886075949368,0.8584269662921349,0.8855503925652939
RTP,svm,5,0.15,0.1,0.8329113924050633,0.7645875251509054,0.9620253164556962,0.852017937219731,0.9066559846178496
RTP,svm,5,0.15,0.15,0.8341772151898734,0.7650602409638554,0.9645569620253164,0.8533034714445689,0.9110847620573626
RTP,svm,5,0.15,0.2,0.8316455696202532,0.7641129032258065,0.959493670886076,0.8507295173961841,0.9120525556801796
RTP,svm,5,0.15,0.25,0.8316455696202532,0.7641129032258065,0.959493670886076,0.8507295173961841,0.9126005447844896
RTP,svm,5,0.15,0.3,0.8316455696202532,0.7641129032258065,0.959493670886076,0.8507295173961841,0.9126005447844896
RTP,svm,5,0.2,0.1,0.8341772151898734,0.7650602409638554,0.9645569620253164,0.8533034714445689,0.9034866207338564
RTP,svm,5,0.2,0.15,0.8341772151898734,0.7650602409638554,0.9645569620253164,0.8533034714445689,0.9061112001281846
RTP,svm,5,0.2,0.2,0.8329113924050633,0.7645875251509054,0.9620253164556962,0.852017937219731,0.9071238583560326
RTP,svm,5,0.2,0.25,0.8329113924050633,0.7645875251509054,0.9620253164556962,0.852017937219731,0.9054606633552316
RTP,svm,5,0.2,0.3,0.8329113924050633,0.7645875251509054,0.9620253164556962,0.852017937219731,0.9054606633552316
RTP,svm,5,0.25,0.1,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8884057042140682
RTP,svm,5,0.25,0.15,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8952988303156545
RTP,svm,5,0.25,0.2,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8918314372696683
RTP,svm,5,0.25,0.25,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8934209261336324
RTP,svm,5,0.25,0.3,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8934209261336324
RTP,svm,5,0.3,0.1,0.8367088607594937,0.7692307692307693,0.9620253164556962,0.8548931383577053,0.8863195000801153
RTP,svm,5,0.3,0.15,0.8367088607594937,0.7692307692307693,0.9620253164556962,0.8548931383577053,0.892981893927255
RTP,svm,5,0.3,0.2,0.8379746835443038,0.7696969696969697,0.9645569620253164,0.8561797752808987,0.8846627143086044
RTP,svm,5,0.3,0.25,0.8379746835443038,0.7696969696969697,0.9645569620253164,0.8561797752808987,0.8865181861881108
RTP,svm,5,0.3,0.3,0.8379746835443038,0.7696969696969697,0.9645569620253164,0.8561797752808987,0.8865181861881108
RTP,svm,6,0.1,0.1,0.8405063291139241,0.7673956262425448,0.9772151898734176,0.8596881959910913,0.8819227687870532
RTP,svm,6,0.1,0.15,0.839240506329114,0.7690763052208835,0.9696202531645568,0.8577827547592385,0.887098221438872
RTP,svm,6,0.1,0.2,0.839240506329114,0.7690763052208835,0.9696202531645568,0.8577827547592385,0.8855311648774233
RTP,svm,6,0.1,0.25,0.839240506329114,0.7690763052208835,0.9696202531645568,0.8577827547592385,0.8855311648774233
RTP,svm,6,0.1,0.3,0.839240506329114,0.7690763052208835,0.9696202531645568,0.8577827547592385,0.8855311648774233
RTP,svm,6,0.15,0.1,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.9085082518827108
RTP,svm,6,0.15,0.15,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.910129786893126
RTP,svm,6,0.15,0.2,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.9119371895529562
RTP,svm,6,0.15,0.25,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.9119371895529562
RTP,svm,6,0.15,0.3,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.9119371895529562
RTP,svm,6,0.2,0.1,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.9040185867649414
RTP,svm,6,0.2,0.15,0.8316455696202532,0.7630522088353414,0.9620253164556962,0.8510638297872342,0.9070405383752604
RTP,svm,6,0.2,0.2,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.905374138759814
RTP,svm,6,0.2,0.25,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.906268226245794
RTP,svm,6,0.2,0.3,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.906268226245794
RTP,svm,6,0.25,0.1,0.8341772151898734,0.7672064777327935,0.959493670886076,0.8526434195725535,0.8878481012658228
RTP,svm,6,0.25,0.15,0.8341772151898734,0.7672064777327935,0.959493670886076,0.8526434195725535,0.8939336644768466
RTP,svm,6,0.25,0.2,0.8341772151898734,0.7672064777327935,0.959493670886076,0.8526434195725535,0.891639160390963
RTP,svm,6,0.25,0.25,0.8341772151898734,0.7672064777327935,0.959493670886076,0.8526434195725535,0.890741868290338
RTP,svm,6,0.25,0.3,0.8341772151898734,0.7672064777327935,0.959493670886076,0.8526434195725535,0.890741868290338
RTP,svm,6,0.3,0.1,0.8354430379746836,0.768762677484787,0.959493670886076,0.8536036036036037,0.8901842653420926
RTP,svm,6,0.3,0.15,0.8354430379746836,0.768762677484787,0.959493670886076,0.8536036036036037,0.8939657106232975
RTP,svm,6,0.3,0.2,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8873385675372536
RTP,svm,6,0.3,0.25,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8870982214388718
RTP,svm,6,0.3,0.3,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8870982214388718
